venue_id,name,slug,address,city,city_slug,country,latitude,longitude,rating_score,rating_volume,price_range,online,delivers,delivery_price,estimate_minutes,estimate_range,short_description,tags,scraped_at
684819cd4eebe08e808b4465,Kofeshgi,kofeshgi,9R9H+3J6 Баку,Baku,baku,AZE,40.3676625,49.8290156,,,2,True,True,0.0,35,30-40,"Sifarişlər gülüşlə, fincanlar eşqlə!","kofe,içkilər,soft drinks",2026-02-10T20:07:40.030339
6256ab8ae34cf5f0d330cb91,San Sebastian Baku,san-sebastian-baku,Ibrahimpasha Dadashov 50b,Baku,baku,AZE,40.41120436,49.84348246,9.8,89,2,True,True,0.0,50,45-55,Məşhur çizkeyk San-Sebastian bizdə,tort,2026-02-10T20:07:40.717441
6461dd1babf3c225ff74b9ad,Danaça,danaca,Mohsen Sanani str. 147/149,Baku,baku,AZE,40.39851129,49.83648337,9.6,314,2,True,True,0.0,60,55-65,Təzə ət kəndimizin fermasından,"toyuq,barbekü,kabab",2026-02-10T20:07:41.467664
655da048b6dab5929c679275,Matreshka Kulinariya Azərbaycan Prospekti,matreshka-azerbaijan-pr,Azerbaijan Prospekti,Baku,baku,AZE,40.37453959,49.8324749,9.6,16,2,True,True,0.0,35,30-40,Həyatın dadlı anları 🤤,"un məmulatları,toyuq,burger",2026-02-10T20:07:42.212563
6866c7da430cb6149e248667,Pastel De Nata Fabrica Portuguesa,fabrica-portuguesa,CWJ7+J6X Баку,Baku,baku,AZE,40.4316125,49.9131094,10.0,45,2,True,True,0.0,75,70-80,Ləzzət səfəri: Portugaliyadan birbaşa!,"şirniyyatlar,un məmulatları,desert",2026-02-10T20:07:42.952023
610cdce1580c8a5d2b41cd11,Central Aksessuar,central-aksessuar,28 may,Baku,baku,AZE,40.37787531,49.84854678,9.4,85,1,True,True,0.0,25,20-30,Ən yaxşı keyfiyyətlərdən biri bizdə,"accessories,Electronics",2026-02-10T20:07:43.701896
5f2bf44bc09a72d09419f696,Purple Cake Boutique,purple-cake,Hasanoghlu street 20,Baku,baku,AZE,40.39758617,49.86935257,8.8,51,2,True,True,0.0,45,40-50,💜,"şirniyyatlar,tort,türk",2026-02-10T20:07:44.523898
694d342a7d20c2ff60563a04,Entertainer Qış Parkı,the-entertainer-qish-parki,"Yasamal area, Fuzuli street 2",Baku,baku,AZE,40.3764375,49.8343125,9.2,29,2,True,True,0.0,30,25-35,🕹🪀🏰,"toys ,games,boardgames ",2026-02-10T20:07:45.274265
62fe20a4626526e1933d100f,Bubble Cup 28 Mall,bubble-cup,Bu virtual məkandır ,Baku,baku,AZE,40.37920441,49.84698661,9.2,45,2,True,True,0.0,30,25-35,Onun dadı başqadır!🥤,"bubble tea,milkşeyk,içkilər",2026-02-10T20:07:46.041852
66797cefd547360e1d5c9b16,KÜNEFE HOUSE,kunefe-house,Ak. Hasan Aliyev Street 1,Baku,baku,AZE,40.3955974,49.81876743,8.2,100,1,True,True,0.0,55,50-60,Ləzzət ilə Dolu Dadlar,"şirniyyatlar,türk,un məmulatları",2026-02-10T20:07:46.865696
6388c680dc4ca8a8304c5731,Zoobastik.com,zoobastik,"Nasimi district, Azadlig pr. 99",Baku,baku,AZE,40.39288816,49.841057,9.4,897,2,True,True,0.0,50,45-55,"Мы в ответе за тех, кого приручили.","pet food,pet supply,pişik yeməyi",2026-02-10T20:07:47.599891
5e75db9c31eae76b78620ec4,GurMania,gurmania,"Sabail district, Nizami str. 98 ",Baku,baku,AZE,40.37744315,49.85549886,9.4,192,2,True,True,0.0,35,30-40,"Mükəmməl məhsullarının və alkoqolun yeri🥃
Mükəmməl məhsullarının və alkoqolun yeri🥃","alcohol,gifts,qurme",2026-02-10T20:07:48.422328
6654365946dc5a69f426904f,Zoorilla.az,zoorilla,Azadlig Avenue 117,Baku,baku,AZE,40.38823831,49.84317682,9.8,125,2,True,True,0.0,35,30-40,🐾😻 Kiçik Dostlar Böyük Sevinc,"pişik yeməyi,it yeməyi,pet supply",2026-02-10T20:07:49.189739
5f2d184401afb21ec6c0e159,Prive Shop,prive-steak-gastronomy,Bu virtual məkandır ,Baku,baku,AZE,40.37237379,49.84136128,10.0,20,3,True,True,0.0,30,25-35,#Weloveprive #Welovemeat,orqanik,2026-02-10T20:07:49.993287
61127822aaaf32d77650a47a,Baku Croissanterie,baku-croissanterie,27 Ataturk avenue,Baku,baku,AZE,40.40881373,49.84744584,9.0,47,1,True,True,0.0,50,45-55,Baku Croissanterie,milkşeyk,2026-02-10T20:07:50.726868
675c19ef3fb6c3dda19d2ee2,Jelly Park Bulvar,jelly,"Park Bulvar, Nəftçilər prospekti 42",Baku,baku,AZE,40.37090193,49.84978785,9.2,24,2,True,True,0.0,30,25-35,Jelly - dünyanın hər yerindən marmelad və şirniyyat 🌍🍬,"şirniyyatlar,konfet",2026-02-10T20:07:51.455596
690de4cdaefef07be29b2df1,Zoo Mind,zoo-mind,Abbas Mirza Sharifzadeh 144,Baku,baku,AZE,40.3874357,49.8052881,10.0,14,2,True,True,0.0,50,45-55,"Akvarium, balıqlar, akvarium aksesuarları, it, pişik yem və aksesuarların satışı","balıq,pet food",2026-02-10T20:07:52.174801
6093f21af8a602e44538c686,Miniso 28 May,miniso-28-may,28 may,Baku,baku,AZE,40.3785487,49.84702545,9.6,62,2,True,True,0.0,30,25-35,"Həyatı Sev, Minisonu Sev","accessories,games,yapon",2026-02-10T20:07:53.139151
